p_noise,score,label,round
0.0,0.890172313556272,1,4
0.5,-1.3707203483205046,-1,4
0.25,-0.6387823549780348,-1,4
0.125,-0.028610866107537047,-1,4
0.0625,0.38460922681327836,1,4
0.09375,0.16744844628243394,1,4
0.109375,0.06690111527274656,1,4
0.1171875,0.018530470335248683,1,4
0.12109375,-0.005192030245430246,-1,4
0.119140625,0.006631033687178656,1,4
0.1201171875,0.0007099837042330304,1,4
0.12060546875,-0.0022433992066062114,-1,4
0.120361328125,-0.0007673021810536973,-1,4
0.1202392578125,-2.8807901623295606e-05,-1,4
0.12017822265625,0.00034055072853211854,1,4
0.120208740234375,0.0001558621211323885,1,4
0.1202239990234375,6.352478678217643e-05,1,4
0.12023162841796875,1.735786185008692e-05,1,4
0.12023544311523438,-5.725165067360649e-06,-1,4
0.12023353576660156,5.816312096174059e-06,1,4
0.12023448944091797,4.5564440664946915e-08,1,4
0.12023496627807617,-2.8398025821996242e-06,-1,4
0.0,0.8785248466692246,1,8
0.5,-1.1494845721734972,-1,8
0.25,-0.7086151664556167,-1,8
0.125,-0.1868278800446025,-1,8
0.0625,0.25295653817398667,1,8
0.09375,0.013459345479547746,1,8
0.109375,-0.09118011155030903,-1,8
0.1015625,-0.04003302854560564,-1,8
0.09765625,-0.013586259607473616,-1,8
0.095703125,-0.00013910452488352654,-1,8
0.0947265625,0.006641108810899077,1,8
0.09521484375,0.0032462617321549203,1,8
0.095458984375,0.0015523950614610982,1,8
0.0955810546875,0.0007063495776451489,1,8
0.09564208984375,0.0002835486280716726,1,8
0.095672607421875,7.220358005954886e-05,1,8
0.0956878662109375,-3.345508991592361e-05,-1,8
0.09568023681640625,1.9373090648810987e-05,1,8
0.09568405151367188,-7.041288232256804e-06,-1,8
0.09568214416503906,6.165829057547256e-06,1,8
0.09568309783935547,-4.377476248151879e-07,-1,8
0.09568262100219727,2.8640362064180636e-06,1,8
0.0,0.8430759876033589,1,12
0.5,-1.1214558268609076,-1,12
0.25,-0.7217718558191208,-1,12
0.125,-0.19965188439155968,-1,12
0.0625,0.23576692384729592,1,12
0.09375,-0.0004524228934872365,-1,12
0.078125,0.11268270973857009,1,12
0.0859375,0.054916389135253096,1,12
0.08984375,0.026937771253436438,1,12
0.091796875,0.013169797580060871,1,12
0.0927734375,0.00634055222901031,1,12
0.09326171875,0.002939541361884457,1,12
0.093505859375,0.0012424297148330155,1,12
0.0936279296875,0.00039472119409622586,1,12
0.09368896484375,-2.8921383439906023e-05,-1,12
0.093658447265625,0.00018288226934193297,1,12
0.0936737060546875,7.697603427381239e-05,1,12
0.09368133544921875,2.4026223286899295e-05,1,12
0.09368515014648438,-2.447855603771032e-06,-1,12
0.09368324279785156,1.078911495877577e-05,1,12
0.09368419647216797,4.170612457388145e-06,1,12
0.09368467330932617,8.613741218077564e-07,1,12
0.0,0.8843783186520786,1,16
0.5,-1.114971976044148,-1,16
0.25,-0.6959100342423652,-1,16
0.125,-0.14374915193968574,-1,16
0.0625,0.2960504260277117,1,16
0.09375,0.059608647325176456,1,16
0.109375,-0.04596943177492041,-1,16
0.1015625,0.005815982302767919,1,16
0.10546875,-0.020323983905756515,-1,16
0.103515625,-0.007316268753278621,-1,16
0.1025390625,-0.0007657670968495012,-1,16
0.10205078125,0.0025211945096290655,1,16
0.102294921875,0.0008767363244059911,1,16
0.1024169921875,5.524037964277362e-05,1,16
0.10247802734375,-0.00035532440322105785,-1,16
0.102447509765625,-0.00015005727468286878,-1,16
0.1024322509765625,-4.7412263461055204e-05,-1,16
0.10242462158203125,3.913104077879481e-06,1,16
0.10242843627929688,-2.1749818191363346e-05,-1,16
0.10242652893066406,-8.918416682490715e-06,-1,16
0.10242557525634766,-2.502671208270968e-06,-1,16
0.10242509841918945,7.05212708895786e-07,1,16
0.0,1.000001336296748,1,20
0.5,-1.0641233719365712,-1,20
0.25,-0.6105635627181554,-1,20
0.125,-0.05204030294815887,-1,20
0.0625,0.39486453514447395,1,20
0.09375,0.15407349003486726,1,20
0.109375,0.04696241166362425,1,20
0.1171875,-0.003518882185429728,-1,20
0.11328125,0.021472642587089474,1,20
0.115234375,0.008915120814938504,1,20
0.1162109375,0.0026827442694761228,1,20
0.11669921875,-0.00042190464049252085,-1,20
0.116455078125,0.0011294598849638238,1,20
0.1165771484375,0.00035353776602553566,1,20
0.11663818359375,-3.424338551938355e-05,-1,20
0.116607666015625,0.0001596322012107354,1,20
0.1166229248046875,6.26906608314215e-05,1,20
0.11663055419921875,1.4222700933430588e-05,1,20
0.11663436889648438,-1.0010576470431687e-05,-1,20
0.11663246154785156,2.1060036874409604e-06,1,20
0.11663341522216797,-3.9523010277875414e-06,-1,20
0.11663293838500977,-9.231523294683797e-07,-1,20
0.0,0.921666740703823,1,24
0.5,-1.0467155331703075,-1,24
0.25,-0.5680208341814487,-1,24
0.125,-0.03808731501265883,-1,24
0.0625,0.37303432842201034,1,24
0.09375,0.15238593262792732,1,24
0.109375,0.053619187273987734,1,24
0.1171875,0.006912394331182847,1,24
0.12109375,-0.015797297008372624,-1,24
0.119140625,-0.004495350808253473,-1,24
0.1181640625,0.0011952415692189078,1,24
0.11865234375,-0.0016533677391201707,-1,24
0.118408203125,-0.0002298922301038342,-1,24
0.1182861328125,0.00048246727504164255,1,24
0.11834716796875,0.00012623568737168966,1,24
0.118377685546875,-5.184122845003358e-05,-1,24
0.1183624267578125,3.7193989979034114e-05,1,24
0.11837005615234375,-7.324429079469397e-06,-1,24
0.11836624145507812,1.4934577985625808e-05,1,24
0.11836814880371094,3.805023837344379e-06,1,24
0.11836910247802734,-1.759715274829432e-06,-1,24
0.11836862564086914,1.0226511177879871e-06,1,24
0.0,0.9137602196429628,1,28
0.5,-1.0797893986308438,-1,28
0.25,-0.6860520334948239,-1,28
0.125,-0.14348221001508,-1,28
0.0625,0.3026082391572853,1,28
0.09375,0.06147910407441781,1,28
0.109375,-0.045229638731248745,-1,28
0.1015625,0.007032192072872423,1,28
0.10546875,-0.019367351774816077,-1,28
0.103515625,-0.006235296079149633,-1,28
0.1025390625,0.0003814486824968988,1,28
0.10302734375,-0.0029311647282836972,-1,28
0.102783203125,-0.0012759193791815893,-1,28
0.1026611328125,-0.0004475008248545631,-1,28
0.10260009765625,-3.309245749294476e-05,-1,28
0.102569580078125,0.0001741615137758057,1,28
0.1025848388671875,7.053037872828405e-05,1,28
0.10259246826171875,1.8717923297995043e-05,1,28
0.10259628295898438,-7.187526422702817e-06,-1,28
0.10259437561035156,5.765133605839523e-06,1,28
0.10259532928466797,-7.112126165775834e-07,-1,28
0.10259485244750977,2.5269564429830638e-06,1,28
0.0,0.8906083343338616,1,32
0.5,-1.067938699167281,-1,32
0.25,-0.6864437676532624,-1,32
0.125,-0.15503971923468918,-1,32
0.0625,0.28489491344896956,1,32
0.09375,0.04682100410980006,1,32
0.109375,-0.0583361904813382,-1,32
0.1015625,-0.006850624461691712,-1,32
0.09765625,0.019707292428510437,1,32
0.099609375,0.006359444066976305,1,32
0.1005859375,-0.00026274001660575586,-1,32
0.10009765625,0.003044055505432963,1,32
0.100341796875,0.0013895847486879997,1,32
0.1004638671875,0.0005631542587904992,1,32
0.10052490234375,0.0001501401119832213,1,32
0.100555419921875,-5.631670237682407e-05,-1,32
0.1005401611328125,4.6907517011307576e-05,1,32
0.10054779052734375,-4.705639596425115e-06,-1,32
0.10054397583007812,2.1100676973695442e-05,1,32
0.10054588317871094,8.197453256864051e-06,1,32
0.10054683685302734,1.7458904721934232e-06,1,32
0.10054731369018555,-1.479878651178268e-06,-1,32
0.0,0.9686653324894101,1,36
0.5,-1.0649747062432917,-1,36
0.25,-0.6538218359652987,-1,36
