noise_type,round,max_noise,clean_trace
white,4,0.3094215393066406,-1.8296915556794362
bitflip,4,0.0782766342163086,-1.8296915556794362
white,8,0.3049335479736328,-1.7815087856239595
bitflip,8,0.04641437530517578,-1.7815087856239595
white,12,0.28714656829833984,-1.734647646786183
bitflip,12,0.050482749938964844,-1.734647646786183
white,16,0.12117671966552734,-0.7227476548721367
bitflip,16,0.023970603942871094,-0.7227476548721367
white,20,0.4427347183227539,-2.6605674257852323
bitflip,20,0.08275318145751953,-2.6605674257852323
white,24,0.45499420166015625,-2.826094861047129
bitflip,24,0.07612228393554688,-2.826094861047129
white,28,0.061865806579589844,-0.3888181836102269
bitflip,28,0.009016990661621094,-0.3888181836102269
white,32,0.36098575592041016,-2.181432458022216
bitflip,32,0.055327415466308594,-2.181432458022216
white,36,0.47629356384277344,-2.9614301029979937
bitflip,36,0.08443355560302734,-2.9614301029979937
white,40,0.36701202392578125,-2.0977320110900926
bitflip,40,0.09851455688476562,-2.0977320110900926
white,44,0.011086463928222656,-0.059593487037391715
bitflip,44,0.0032434463500976562,-0.059593487037391715
white,48,0.39303016662597656,-2.159484686002034
bitflip,48,0.07197761535644531,-2.159484686002034
white,52,0.33602333068847656,-1.8147070143523312
bitflip,52,0.057849884033203125,-1.8147070143523312
white,56,0.20455360412597656,-1.054522801778594
bitflip,56,0.08820056915283203,-1.054522801778594
white,60,0.08732986450195312,-0.47331959655061173
bitflip,60,0.040813446044921875,-0.47331959655061173
white,64,0.3699626922607422,-1.98646989219045
bitflip,64,0.07269001007080078,-1.98646989219045
white,68,0.31656646728515625,-1.6815856660598767
bitflip,68,0.04637432098388672,-1.6815856660598767
white,72,0.03989982604980469,-0.21106876229432514
bitflip,72,0.006524085998535156,-0.21106876229432514
white,76,0.29630374908447266,-1.6040606032904108
bitflip,76,0.0581207275390625,-1.6040606032904108
white,80,0.43381786346435547,-2.3264852974990067
bitflip,80,0.0757608413696289,-2.3264852974990067
white,84,0.1910533905029297,-0.9402884021291094
bitflip,84,0.028115272521972656,-0.9402884021291094
